Job Info
Name;Synergy, S, aureus del,mutants
Status;Completed
Job ID;10
Job last modified;11-06-2014 10:46:55

Repetitions;49
Time between repetitions;00:30:00
Acquire started;10-06-2014 10:39:39
Acquire completed;11-06-2014 10:44:01
Acquire duration;24:04:22
Growth Kinetics Analysis plugin;FullImageFeatures,dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;18;5,25081196629028;-0,354238973658453;3,69063328990512;-0,287716016747466;8,62428127782277;-0,00656118594832122;32633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;19;5,23018834652671;-0,374862593422019;3,82178938694391;-0,15655991970867;8,62369318173116;-0,00714928203993637;34433
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;20;5,23516326471327;-0,369887675235465;3,81321415051354;-0,165135156139041;8,62465818717978;-0,00618427659131626;36233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;21;5,23435519315523;-0,370695746793502;3,87063886770319;-0,107710438949393;8,62427484755589;-0,00656761621520197;38033
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;22;5,26444754850873;-0,340603391440006;3,75765888719488;-0,220690419457698;8,62657495329168;-0,00426751047941742;39833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;23;5,18422943703954;-0,420821502909188;3,77495422585919;-0,203395080793395;8,62435861537906;-0,00648384839203864;41633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;24;5,21158386412326;-0,39346707582547;3,8521168498588;-0,126232456793777;8,62329048346404;-0,00755198030705628;43433
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;25;5,18845258079706;-0,416598359151674;3,87576598600725;-0,102583320645329;8,6259249912445;-0,00491747252659636;45233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;26;5,12706690992996;-0,477984030018774;3,74485801914018;-0,233491287512406;8,62296487494304;-0,00787758882805356;47033
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;27;5,19656264583005;-0,408488294118682;3,7923374866476;-0,18601182000498;8,62579681169623;-0,00504565207486074;48833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;28;5,05477746285262;-0,55027347709611;3,84680979887922;-0,131539507773362;8,62290127789426;-0,00794118587682924;50633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;29;5,09349321263531;-0,511557727313418;3,80148389711855;-0,176865409534034;8,62505050147894;-0,00579196229215206;52433
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;30;5,12008608053624;-0,48496485941249;3,67502109235505;-0,303328214297533;8,6240895637603;-0,00675290001079176;54233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;31;5,0718050315723;-0,533245908376434;3,84330508608181;-0,135044220570775;8,62462806762241;-0,00621439614868713;56033
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;32;5,03539814912154;-0,569652790827195;3,87070924894595;-0,107640057706627;8,62447024394995;-0,00637221982113978;57833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;33;5,07997512093109;-0,525075819017643;3,68553745631972;-0,292811850332863;8,62340868411539;-0,00743377965570069;59633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;34;5,07290286955002;-0,532148070398708;3,76118891479311;-0,217160391859476;8,62364493016366;-0,0071975336074388;61433
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;35;5,05205810586766;-0,552992834081074;3,6911920957018;-0,287157210950779;8,62106056754213;-0,00978189622896686;63233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;36;4,93641210797786;-0,66863883197087;3,59118018397056;-0,387169122682026;8,62206722764186;-0,00877523612923703;65033
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;37;4,9734963412852;-0,631554598663528;3,79880447374084;-0,179544832911746;8,62233142904008;-0,00851103473100956;66833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;38;4,81173233955831;-0,793318600390425;3,83183711432119;-0,146512192331391;8,62097780399684;-0,00986465977424977;68633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;39;4,92435280407086;-0,680698135877876;3,42877530476009;-0,549574001892489;8,62271834094244;-0,00812412282865083;70433
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;40;4,90359309291513;-0,701457847033601;3,79355399487755;-0,184795311775035;8,62267761200158;-0,00816485176951254;72233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;41;4,99656160411782;-0,608489335830913;3,72624531764762;-0,252103989004965;8,62047523252281;-0,0103672312482885;74033
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;42;4,80421565265335;-0,80083528729538;3,82015161676609;-0,158197689886489;8,62173514623765;-0,00910731753344862;75833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;43;4,94445361599122;-0,660597323957508;3,72628663453971;-0,252062672112873;8,62363252341079;-0,00720994036029943;77633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;44;4,83846733411604;-0,76658360583269;3,83945719252715;-0,138892114125428;8,62205383239182;-0,0087886313792751;79434
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;45;4,90431700596965;-0,700733933979086;3,77116962781343;-0,20717967883915;8,61942275384562;-0,0114197099254714;81234
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;46;4,90729244237462;-0,697758497574112;3,72864239311859;-0,249706913533988;8,61953573988582;-0,0113067238852764;83033
